"Carimbo de data/hora","Sexo","Qual a sua escolariedade?","Você possui algum veículo?","Qual destes?","Qual a sua idade?","Qual é o correto?","Gosta de Cerveja?","Qual a marca de cerveja você mais gosta?","Quantas cervejas você comprou no MercadoTec? (Digite somente números)","Qual o valor em Reais gasto no MercadoTec em cerveja? (Digite somente números)","Gosta de Refrigerante?","Qual a marca de refrigerante você mais gosta?","Quantos refrigerantes você comprou no MercadoTec? (Digite somente números)","Qual o valor em Reais gasto no MercadoTec em Refrigerante? (Digite somente números)",""
"2019/12/04 6:14:05 PM GMT-3","M","Ensino Superior Incompleto","Não","NDA","18","Bolacha","Talvez","Skol","0","0","Sim","Pepsi","0","0","Opção 1"
"2019/12/04 6:14:41 PM GMT-3","M","Ensino Médio Completo","Não","NDA","18","Bolacha","Sim","Coronha","0","0","Sim","H2OH! Limão","0","0","Opção 1"
"2019/12/04 6:15:06 PM GMT-3","M","Ensino Superior Incompleto","Sim","Megazorde","21","Biscoito","Sim","Budweiser","96","102.40","Sim","Guaraná Antartica","0","0","Opção 1"
"2019/12/04 6:16:36 PM GMT-3","M","Ensino Superior Incompleto","Sim","Megazorde","21","Biscoito","Não","Não bebo cerveja","0","0","Talvez","Pepsi Zero","0","0","Opção 1"
"2019/12/04 6:17:08 PM GMT-3","M","Ensino Médio Incompleto","Não","NDA","16","Bolacha","Talvez","Não bebo cerveja","0","0","Sim","Guaraná Antartica Zero","0","0","Opção 1"
"2019/12/04 6:17:38 PM GMT-3","M","Ensino Médio Incompleto","Não","NDA","17","Bolacha","Sim","Skol","0","0","Sim","Pepsi Twist","0","0","Opção 1"
"2019/12/04 6:19:18 PM GMT-3","M","Ensino Superior Incompleto","Sim","Carro","31","Bolacha","Sim","Budweiser","96","102.4","Não","Não bebo refrigerante","18","19.31","Opção 1"
"2019/12/04 6:19:40 PM GMT-3","F","Ensino Médio Incompleto","Não","NDA","17","Bolacha","Talvez","Não bebo cerveja","0","0","Talvez","H2OH! Limão","36","47","Opção 1"
"2019/12/04 6:19:54 PM GMT-3","M","Pós Graduado Completo","Sim","Megazorde","24","Biscoito","Sim","Skol","69","666","Sim","Sukita Laranja"," 2","6","Opção 1"
"2019/12/04 6:25:22 PM GMT-3","M","Ensino Médio Incompleto","Não","NDA","17","Bolacha","Não","Não bebo cerveja","0","0","Sim","Pepsi Twist","0","0","Opção 1"
"2019/12/04 6:27:58 PM GMT-3","M","Ensino Superior Incompleto","Não","NDA","18","Bolacha","Sim","Stella Artois","68","70","Sim","Pepsi Twist","12","28",""
"2019/12/04 6:30:31 PM GMT-3","F","Ensino Superior Incompleto","Sim","Moto","29","Biscoito","Sim","Stella Artois","4","40","Sim","Pepsi Twist","0","0","Opção 1"
"2019/12/04 6:40:28 PM GMT-3","M","Ensino Superior Incompleto","Não","NDA","22","Biscoito","Sim","Brahma","0","0","Talvez","Pepsi Twist","0","0","Opção 1"
"2019/12/04 6:41:45 PM GMT-3","M","Ensino Superior Incompleto","Sim","Carro","23","Bolacha","Sim","Original","4","102","Sim","Pepsi Twist","4","43","Opção 1"
"2019/12/04 6:56:35 PM GMT-3","M","Ensino Médio Incompleto","Sim","Megazorde","17","Bolacha","Talvez","Budweiser","0","0","Sim","Pepsi Twist","0","0","Opção 1"
"2019/12/04 7:04:17 PM GMT-3","M","Ensino Médio Incompleto","Não","Megazorde","16","Biscoito","Não","Não bebo cerveja","0","0","Sim","Pepsi","0","0","Opção 1"
"2019/12/04 7:08:07 PM GMT-3","M","Ensino Médio Incompleto","Não","Megazorde","17","Biscoito","Talvez","Não bebo cerveja","0","0","Sim","Guaraná Antartica","0","0","Opção 1"
"2019/12/04 7:22:25 PM GMT-3","M","Ensino Superior Incompleto","Sim","Carro","21","Bolacha","Sim","Budweiser","96","100","Sim","Pepsi","0","0","Opção 1"
"2019/12/04 8:14:18 PM GMT-3","M","Ensino Superior Incompleto","Não","NDA","23","Biscoito","Sim","Antarctica","96","102","Sim","Sukita Laranja","12","28","Opção 1"
"2019/12/04 10:16:11 PM GMT-3","M","Ensino Médio Incompleto","Não","Megazorde","16","Bolacha","Talvez","Não bebo cerveja","0","0","Sim","Pepsi","0","0","Opção 1"
"2019/12/04 11:08:38 PM GMT-3","M","Ensino Médio Completo","Sim","Moto","30","Bolacha","Sim","Budweiser","4","65","Não","Guaraná Antartica","0","0",""
"2019/12/04 11:53:09 PM GMT-3","M","Ensino Médio Incompleto","Sim","Bicicleta","16","Bolacha","Talvez","Não bebo cerveja","0","0","Sim","Guaraná Antartica","0","0","Opção 1"
"2019/12/05 8:02:26 AM GMT-3","M","Pós Graduado Completo","Sim","Caminhão","15","Bolacha","Talvez","Magnífica do Maranhão","87","5","Talvez","Guaraná Baré","3","55","Opção 1"
"2019/12/05 8:07:36 AM GMT-3","M","Ensino Médio Incompleto","Sim","Bicicleta","17","Bolacha","Não","Não bebo cerveja","0","0","Sim","Pepsi Twist","0","0","Opção 1"
"2019/12/05 8:09:04 AM GMT-3","M","Ensino Médio Incompleto","Não","NDA","18","Bolacha","Sim","Coronha","0","0","Sim","Guaraná Antartica","0","0","Opção 1"
"2019/12/05 8:10:00 AM GMT-3","M","Ensino Superior Incompleto","Sim","Megazorde","19","Biscoito","Sim","Budweiser","4","100","Sim","Pepsi Twist","2","25","Opção 1"
"2019/12/05 8:10:29 AM GMT-3","F","Ensino Superior Incompleto","Sim","Bicicleta","19","Bolacha","Sim","Coronha","96","100","Sim","H2OH! Limão","12","9","Opção 1"
"2019/12/05 8:19:08 AM GMT-3","F","Ensino Superior Incompleto","Sim","Megazorde","19","Bolacha","Sim","Goose Island","80","86","Sim","Pepsi Twist","0","0","Opção 1"
"2019/12/05 10:22:46 AM GMT-3","F","Ensino Superior Incompleto","Não","NDA","20","Bolacha","Sim","Stella Artois","96","101","Talvez","Antartica Citrus","0","0","Opção 1"
"2019/12/07 9:44:04 AM GMT-3","M","Ensino Superior Incompleto","Sim","Carro","31","Biscoito","Sim","Budweiser","83","102","Sim","Guaraná Antartica","6","12","Opção 1"
"2019/12/07 9:46:46 AM GMT-3","M","Ensino Médio Incompleto","Não","Caminhão","23","Bolacha","Talvez","Brahma","3","32","Talvez","H2OH! Laranja","3","45","Opção 1"
"2019/12/09 8:01:08 AM GMT-3","F","Ensino Superior Incompleto","Sim","Megazorde","27","Bolacha","Sim","Brahma","72","7680","Não","Não bebo refrigerante","0","0","Opção 1"